ath-miR157a	NONATHT002076
ath-miR161.1	NONATHT002269
ath-miR169a	NONATHT003573
ath-miR169g-3p	NONATHT003573
ath-miR169h	NONATHT003573
ath-miR172b-5p	NONATHT000979
ath-miR1887	NONATHT002599
ath-miR1888a	NONATHT002151
ath-miR2111b-3p	NONATHT003238
ath-miR2936	NONATHT000831
ath-miR390a	NONATHT001828
ath-miR390a	NONATHT001829
ath-miR390a	NONATHT003666
ath-miR3932a	NONATHT002734
ath-miR395a	NONATHT000436
ath-miR396a	NONATHT000877
ath-miR405a	NONATHT002643
ath-miR407	NONATHT001790
ath-miR413	NONATHT003258
ath-miR414	NONATHT000482
ath-miR414	NONATHT001352
ath-miR414	NONATHT001864
ath-miR414	NONATHT002049
ath-miR414	NONATHT002772
ath-miR415	NONATHT000097
ath-miR417	NONATHT001341
ath-miR4221	NONATHT000382
ath-miR4221	NONATHT002019
ath-miR4221	NONATHT002139
ath-miR4221	NONATHT002173
ath-miR4221	NONATHT002681
ath-miR4221	NONATHT002714
ath-miR4221	NONATHT003373
ath-miR4245	NONATHT000435
ath-miR447a	NONATHT001261
ath-miR5013	NONATHT003054
ath-miR5017	NONATHT000150
ath-miR5020b	NONATHT002407
ath-miR5020b	NONATHT002817
ath-miR5021	NONATHT000370
ath-miR5021	NONATHT000436
ath-miR5021	NONATHT000983
ath-miR5021	NONATHT000996
ath-miR5021	NONATHT001068
ath-miR5021	NONATHT001993
ath-miR5021	NONATHT002213
ath-miR5021	NONATHT002725
ath-miR5628	NONATHT003472
ath-miR5645c	NONATHT001439
ath-miR5645c	NONATHT002643
ath-miR5650	NONATHT001863
ath-miR5658	NONATHT000891
ath-miR5658	NONATHT001245
ath-miR5658	NONATHT001311
ath-miR5658	NONATHT001841
ath-miR5658	NONATHT002723
ath-miR5659	NONATHT001270
ath-miR5997	NONATHT000461
ath-miR5997	NONATHT001056
ath-miR5997	NONATHT001059
ath-miR5997	NONATHT002577
ath-miR5998a	NONATHT001056
ath-miR5998a	NONATHT001059
ath-miR774b-3p	NONATHT003478
ath-miR774b-5p	NONATHT003733
ath-miR779.2	NONATHT000487
ath-miR779.2	NONATHT000488
ath-miR782	NONATHT002187
ath-miR782	NONATHT003444
ath-miR8121	NONATHT001056
ath-miR8121	NONATHT001059
ath-miR8166	NONATHT001406
ath-miR8169	NONATHT001832
ath-miR8170-3p	NONATHT003236
ath-miR8170-5p	NONATHT002030
ath-miR8181	NONATHT001888
ath-miR827	NONATHT001229
ath-miR832-3p	NONATHT002773
ath-miR832-5p	NONATHT002817
ath-miR834	NONATHT001259
ath-miR835-3p	NONATHT000888
ath-miR835-5p	NONATHT000481
ath-miR835-5p	NONATHT000888
ath-miR835-5p	NONATHT001498
ath-miR835-5p	NONATHT003477
ath-miR837-3p	NONATHT002733
ath-miR837-5p	NONATHT001368
ath-miR837-5p	NONATHT003494
ath-miR838	NONATHT002360
ath-miR841b-3p	NONATHT000981
ath-miR845b	NONATHT003526
ath-miR846	NONATHT000750
ath-miR855	NONATHT000455
ath-miR855	NONATHT001060
ath-miR857	NONATHT003572
ath-miR863-5p	NONATHT000464
ath-miR863-5p	NONATHT001899
ath-miR863-5p	NONATHT003296
ath-miR864-3p	NONATHT003423
ath-miR865-3p	NONATHT000996
ath-miR865-5p	NONATHT002711
ath-miR869.2	NONATHT003574
ath-miR870	NONATHT000348
ath-miR870	NONATHT000408
ath-miRf10001-npr	NONATHT003350
ath-miRf10005-npr	NONATHT000775
